no,product,pack,weight_mc,gross_weight,total_ctn,net_weight_kg,gross_weight_kg,total_rw_price,finished_goods,pack_cost,unit_price,total_amount,remark
1,ROHU/G - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,100,2000,2020.5,30,1.08,0.08,0,0,GL.5%(-17%)
2,CARFU/WR - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,23,0.69,0.08,0,0,GL.5%
3,TILAPIA/CLN - 200-300 (4 PCS)  G./PCS.,1 KG. X 10 BAG/CTN WITH RIDER,10,10.5,50,500,510.5,0,0,0,0,0,GL.20%
4,MRIGAL/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,20,400,420.5,32,1.15,0.07,0,0,GL.5%(-17%)
5,TILAPIA/WR - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,20,400,420.5,0,0,0,0,0,GL.5%
6,PUTI/CLN - 100-200  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,75,600,608.5,44,1.15,0.19,0,0,GL.20%
7,PANGASH/G - 3  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.5%(-17%)
8,ROHU/G - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,30,1.08,0.07,0,0,GL.5%(-17%)
9,TILAPIA/WR - 800  G.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,20,400,420.5,0,0,0,0,0,GL.5%
10,ROHU/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,20,400,420.5,31,1.12,0.07,0,0,GL.5%(-17%)
11,PUTI/CLN/TRAY ,300 G. X 20 TRAY/CTN WITH STICKER,6,6.5,25,150,156.5,0,0,0,0,0,GL.20%
12,SHRIMP/H-L/IQF ,240 G. X 25 BAG/CTN WITH RIDER ,6,6.5,9,54,60.5,0,0,0,0,0,GL.30%
13,MAGUR/CLN/SO - 6-7  PCS./BAG.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,63,504,512.5,0,0,0,0,0,GL.20%
14,HORINA/H-L/IQF ,250 G. X 24 BAG/CTN WITH STICKER,6,6.5,50,300,306.5,0,0,0,0,0,GL.30%
15,SHRIMP/TRAY - 40-50  PCS./TRAY.,300 G. X 25 TRAY/CTN WITH STICKER,7.5,8,50,375,383,155,4.04,0.33,0,0,GL.25%
16,PUTI/CLN - 200-300  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,GL.20%
17,KORAL/WR - 1  KG.UP,IWP 10 KG./CTN WITH STICKER,10,10.5,100,1000,1010.5,0,0,0,0,0,024DTL-TH-25/011
18,PANGASH/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,120,2400,2420.5,28,1.01,0.07,0,0,GL.5%(-17%)
19,"PABDA/WR/IQF - 7  UP.""",800 G. X 10 BAG/CTN WITH RIDER,8,8.5,60,480,488.5,0,0,0,0,0,SMEPL/008/25-26
20,TANGRA/CLN/IQF ,400 G. X 25 BAG/CTN WITH RIDER,10,10.5,50,500,510.5,0,0,0,0,0,031DTL-TH-25/015
21,TILAPIA/CLN - 100-200  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,GL.20%
22,TILAPIA/WR - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,20,400,420.5,0,0,0,0,0,GL.5%
23,SHRIMP/TRAY - 30-40  PCS./TRAY.,300 G. X 25 TRAY/CTN WITH STICKER,7.5,8,50,375,383,155,4.04,0.33,0,0,GL.25%
24,CARFU/WR - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,23,0.69,0.07,0,0,GL.5%
25,PANGASH/G - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,200,4000,4020.5,26,0.94,0.08,0,0,GL.5%(-17%)
26,MRIGAL/G - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,25,500,520.5,30,1.08,0.08,0,0,GL.5%(-17%)
27,MRIGAL/G - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,25,500,520.5,30,1.08,0.07,0,0,GL.5%(-17%)
28,DRY KESKI ,100 G. X 50 BAG/CTN WITH STICKER,5,5.5,50,250,255.5,0,0,0,0,0,103&21-04-2025
29,PANGASH EGG/TRAY/VAC (BOAL/EGG/) ,240 G. X 25 TRAY/CTN WITH STICKER,6,6.5,20,120,126.5,0,0,0,0,0,
30,ROHU EGG/TRAY/VAC ,240 G. X 25 TRAY/CTN WITH STICKER,6,6.5,30,180,186.5,0,0,0,0,0,
31,PANGASH/H-L/STEAK ,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,150,1200,1208.5,28,1.01,0.19,0,0,GL.40%(-38%)
32,BACHA/WR/IQF ,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,GL.20%
33,ROHU/H-O/STEAK-NO SCALE - 600-800  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,275,2200,2208.5,23,0.74,0.19,0,0,GL.20%(-19%)
34,DESHI KOI/CLN/BLK,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,40,320,328.5,0,0,0,0,0,SO60/24-25
35,E-MOILA/CLN/BLK ,250 G. X 24 BLK/CTN WITH STICKER,6,12,111,300,312,0,0,0,0,0,
